name,year,set,cardNo,team,c,pu,so,gb,fb,bb,si,sip,du,tr,hr,points,ip,hand,icon,pos
Scot Shields,'05,,1,Angels,4,1-,2-6,7-13,14-16,17-,18-19,-,20-26,-,27+,240,2,R,,Reliever
**Jose Mesa,'04,,1,Pirates,1,1-3,4-8,9-14,15-16,17-,18-19,-,20-25,-,26+,10,1,R,,Closer
*Shawn Chacon,'04,,1,Rockies,1,1-4,5-10,11-14,15-16,-,17-,-,18-22,-,23+,10,1,R,,Closer
*Kent Bottenfield,'00,,1,Angels,3,5-7,1-4,8-12,13-16,17-,18-19,-,20-,-,-,330,6,R,,Starter
*Josh Beckett,'03,,1,Marlins,2,1-6,7-12,13-16,17-,18-19,-,20-21,-,22+,,80,5,R,,Starter
*J.C. Romero,'02,,1,Twins,4,1-3,4-10,11-15,16-17,18-26,-,-,-,-,27+,380,6,L,,Starter
Barry Zito,'04,,2,Athletics,4,1-2,3-6,7-12,13-17,18-,19-22,-,23-25,-,26+,530,7,L,,Starter
**Ryan Drese,'03,,2,Rangers,1,1-2,3-6,7-12,13-16,17-,18-19,-,20-23,-,24+,10,5,R,R,Starter
*Dustin Hermanson,'01,,2,Cardinals,1,1-3,4-5,6-12,13-17,18-,19-,-,20-,-,-,190,6,R,,Starter
*Jeremy Bonderman,'03,,2,Tigers,1,1-,2-6,7-13,14-16,17-,18-19,-,20-22,-,23+,10,5,R,R,Starter
*Ken Hill,'00,,2,Angels,0,5-6,1-4,7-13,14-18,19-,20-,-,-,-,-,170,6,R,,Starter
Tim Belcher,'00,,2,Angels,0,3-5,1-2,6-12,13-18,-,19-,-,20-,-,-,110,6,R,,Starter
*Robb Nen,'02,,2,Giants,4,1-3,4-10,11-15,16-18,-,19-25,-,-,-,26+,250,1,R,,Closer
Al Levine,'03,,3,Angels,2,1-4,-,5-13,14-15,16-17,18-,-,19-,-,20+,20,1,R,,Reliever
*Russ Ortiz,'04,,3,Braves,4,1-4,5-9,10-14,15-16,17-,18-19,-,20-25,-,26+,360,7,R,,Starter
**Mike Hampton,'03,,3,Braves,1,1-3,4-5,6-13,14-15,16-,17-19,-,20-22,-,23+,10,6,L,,Starter
C.C. Sabathia,'04,,3,Indians,3,1-2,3-6,7-12,13-15,16-17,18-19,-,20-24,-,25+,270,7,L,,Starter
Mark Buehrle,'02,,3,White Sox,3,1-4,5-8,9-15,16-18,19-,20-23,-,-,-,24+,510,07,L,,Starter
*Jamie Moyer,'01,,3,Mariners,2,1-3,4-7,8-14,15-17,-,18-19,-,20-,-,-,320,6,L,,Starter
**Jeff Weaver,'04,,4,Dodgers,1,1-2,3-5,6-14,15-,16-,17-19,-,20-26,-,27+,10,5,R,,Starter
Greg Maddux,'05,,4,Cubs,4,1-2,3-6,7-14,15-17,18-,19-21,-,22-,-,23+,380,6,R,,Starter
*Jason Simontacchi,'04,,4,Cardinals,1,1-4,-,5-11,12-13,14-15,16-17,-,18-19,-,20+,10,1,R,,Reliever
*Aaron Fultz,'01,,4,Giants,3,1-3,4-8,9-14,15-16,17-,18-19,-,20-,-,-,100,1,L,,Reliever
Chuck Finley,'00,,5,Angels,5,6-7,1-5,8-12,13-15,16-17,18-19,-,20-,-,-,470,6,L,,Starter
*Oscar Villarreal,'04,,5,Diamondbacks,1,1-,2-7,8-11,12-15,16-17,18-19,-,20-23,-,24+,10,1,R,,Reliever
Shigetoshi Hasegawa,'01,,5,Angels,2,1-3,4-7,8-13,14-17,18-,19-20,-,-,-,-,130,1,R,,Reliever
Derek Lowe,'04,,5,Red Sox,2,1-2,3-5,6-15,16-,17-,18-19,-,20-25,-,26+,110,6,R,,Starter
*Barry Zito,'01,,5,Athletics,6,1-3,4-7,8-11,12-15,16-17,18-19,-,20-,-,-,560,07,L,,Starter
**Steve Sparks,'03,,5,Tigers,1,1-,2-4,5-12,13-16,17-,18-19,-,20-,-,21+,10,6,R,,Starter
Freddy Garcia,'02,,6,Mariners,4,1-3,4-9,10-14,15-18,-,19-,-,20-23,-,24+,590,07,R,,Starter
C.C. Sabathia,'05,,6,Indians,3,1-2,3-,4-12,13-18,19-,20-23,-,24-26,-,27+,490,7,L,,Starter
Ramon Ortiz,'04,,6,Angels,2,1-3,4-6,7-12,13-16,17-,18-19,-,20-23,-,24+,40,6,R,,Starter
**Chan Ho Park,'03,,6,Rangers,1,1-3,4-7,8-13,14-15,16-17,18-19,-,20-23,-,24+,20,6,R,,Starter
*Brian Anderson,'00,,6,Diamondbacks,5,4-5,1-3,6-10,11-15,-,16-19,-,20-,-,-,420,6,L,,Starter
*Shigetoshi Hasegawa,'02,,6,Mariners,5,1-3,4-7,8-12,13-16,17-,18-19,-,20-25,-,26+,140,1,R,,Reliever
*Rocky Biddle,'04,,6,Expos,1,1-3,4-5,6-14,15-16,17-,18-19,-,20-25,-,26+,20,1,R,,Closer
Kevin Gregg,'05,,6,Angels,3,1-2,3-7,8-13,14-16,17-,18-19,-,20-25,-,26+,130,2,R,,Reliever
*Scott Sullivan,'03,,6,Reds,4,1-2,3-7,8-11,12-16,17-,18-19,-,20-,-,21+,150,1,R,,Reliever
*Joe Borowski,'04,,7,Cubs,1,1-3,4-8,9-12,13-15,16-17,18-23,-,24-27,-,28+,40,1,R,,Closer
Al Levine,'01,,7,Angels,4,1-2,3-4,5-11,12-15,16-17,18-19,-,20-,-,-,210,2,R,,Reliever
Jason Johnson,'05,,7,Tigers,2,1-3,4-6,7-14,15-16,17-,18-19,-,20-24,-,25+,90,6,R,,Starter
*John Thomson,'03,,7,Rangers,4,1-,2-5,6-12,13-16,17-,18-19,-,20-24,-,25+,150,6,R,,Starter
Ramon Ortiz,'02,,7,Angels,2,1-3,4-7,8-13,14-17,18-,19-,-,20-22,-,23+,150,07,R,,Starter
**Shawn Estes,'05,,7,Diamondbacks,1,1-,2-4,5-12,13-15,16-17,18-19,-,20-23,-,24+,10,6,L,,Starter
*Shawn Estes,'04,,8,Rockies,2,1-,2-4,5-12,13-16,17-,18-19,-,20-23,-,24+,50,6,L,,Starter
*C.C. Sabathia,'01,,8,Indians,3,1-2,3-6,7-11,12-14,15-17,18-19,-,20-,-,-,10,5,L,,Starter
Ramon Ortiz,'03,,8,Angels,4,1-4,5-8,9-14,15-,16-,17-18,-,19-,-,20+,230,07,R,,Starter
Greg Maddux,'04,,8,Braves,4,1-,2-4,5-13,14-17,-,18-19,-,20-24,-,25+,350,6,R,,Starter
*Lance Carter,'03,,8,Devil Rays,5,1-3,4-6,7-11,12-16,17-,18-,-,19-22,-,23+,160,1,R,R,Closer
Tim Spooneybarger,'05,,8,Marlins,6,1-4,5-14,15-17,18-,19-23,-,24-27,-,28+,,310,1,R,,Reliever
Troy Percival,'02,,8,Angels,5,1-3,4-11,12-14,15-18,19-,20-26,-,-,-,27+,310,1,R,,Closer
*Armando Reynoso,'00,,8,Diamondbacks,4,4-5,1-3,6-10,11-15,16-,17-19,-,20-,-,-,330,6,R,,Starter
**J.J. Putz,'05,,8,Mariners,2,1-2,3-6,7-13,14-16,17-,18-19,-,20-23,-,24+,60,1,R,,Reliever
**Antonio Osuna,'03,,8,Yankees,3,1-4,5-9,10-15,16-,17-18,19-20,-,21-22,-,23+,140,1,R,,Reliever
Troy Percival,'01,,9,Angels,2,1-2,3-8,9-11,12-17,18-19,20-,-,-,-,-,120,1,R,,Closer
*Eddie Guardado,'01,,9,Twins,3,1-4,5-9,10-12,13-17,18-,19-,-,-,-,20+,90,1,L,,Reliever
*Terry Mulholland,'03,,9,Indians,1,1-3,4-5,6-13,14-16,17-,18-19,-,20-22,-,23+,30,1,L,,Reliever
*Russ Springer,'00,,9,Diamondbacks,5,6-7,1-5,8-9,10-16,17-18,19-,-,20-,-,-,150,1,R,,Reliever
**Mike DeJean,'05,,9,Mets,1,1-,2-5,6-11,12-14,15-16,17-19,-,20-27,-,28+,10,1,R,,Reliever
**Ryan Dempster,'03,,9,Reds,1,1-2,3-7,8-13,14-16,17-18,19-,-,20-26,-,27+,40,6,R,,Starter
Roy Halladay,'02,,9,Blue Jays,5,1-2,3-6,7-14,15-16,17-,18-19,-,20-26,-,27+,600,07,R,,Starter
Scot Shields,'04,,9,Angels,4,1-3,4-7,8-14,15-16,17-,18-19,-,20-25,-,26+,320,5,R,,Starter
Scott Schoeneweis,'02,,10,Angels,5,1-2,3-5,6-12,13-15,16-,17-19,-,20-23,-,24+,310,6,L,,Starter
*Matt Kinney,'01,,10,Twins,3,1-2,3-6,7-11,12-15,16-18,19-,-,20-,-,-,190,6,R,,Starter
*Jake Westbrook,'03,,10,Indians,2,1-,2-3,4-13,14-16,17-,18-19,-,20-23,-,24+,30,5,R,,Starter
*Jose Rijo,'02,,10,Reds,4,1-2,3-6,7-14,15-17,18-,19-26,-,-,-,27+,290,6,R,,Starter
*Todd Stottlemyre,'00,,10,Diamondbacks,4,5-7,1-4,8-11,12-15,16-17,18-19,-,20-,-,-,340,6,R,,Starter
Damaso Marte,'03,,10,White Sox,5,1-2,3-9,10-14,15-17,18-19,20-22,-,23-25,-,26+,280,1,L,,Reliever
Troy Percival,'03,,10,Angels,5,1-3,4-10,11-13,14-16,17-19,20-22,-,23-25,-,26+,240,1,R,,Closer
Troy Percival,'05,,10,Angels,4,1-4,5-8,9-13,14-16,17-,18-21,-,22-23,-,24+,190,1,R,,Closer
**Jesse Orosco,'03,,10,Padres,4,1-4,5-8,9-13,14-16,17-,18-19,-,20-22,-,23+,160,1,L,,Reliever
Nate Field,'05,,10,Royals,3,1-,2-5,6-10,11-16,17-,18-19,-,20-24,-,25+,130,1,R,,Reliever
